Name of kata,Completed language,Completed Date
Strong Number (Special Numbers Series #2)  ,['python'],2025-12-15
Count number of zeros from 1 to N,['python'],2025-12-15
Counting Duplicates,['python'],2025-12-15
The Vowel Code,['python'],2025-12-15
Sort sentence pseudo-alphabetically,['python'],2025-12-15
Adding ordinal indicator suffixes to numbers,['python'],2025-12-15
Smallest value of an array,['python'],2025-12-13
Divide and Conquer,['python'],2025-12-13
Return to Sanity,['python'],2025-12-13
Fundamentals: Return,['python'],2025-12-13
pick a set of first elements,['python'],2025-12-13
How many stairs will Suzuki climb in 20 years?,['python'],2025-12-13
UEFA EURO 2016,['python'],2025-12-13
Welcome!,['python'],2025-12-13
Describe a list ,['python'],2025-12-13
Duplicate sandwich,['python'],2025-12-13
Multiple of  index,['python'],2025-12-13
Complete Series,['python'],2025-12-13
Maximum Product ,['python'],2025-12-13
"L1: Bartender, drinks!",['python'],2025-12-13
Sum of prime-indexed elements,['python'],2025-12-13
Replace all items,['python'],2025-12-13
Santa's Naughty List,['python'],2025-12-13
Monotone travel,['python'],2025-12-13
